error,delta_error,delta_pwm
-0.3157,-4.5172,1543
-0.3881,-2.7311,1400
-0.3505,-0.6125,529
-0.3129,0.2350,32
-0.2753,0.5740,-250
-0.2257,0.7096,-387
-0.1881,0.7638,-460
-0.1505,0.7855,-512
-0.4329,-3.2909,1400
-0.7253,-5.0491,1744
-1.0057,-4.7332,1704
-0.9681,-1.4133,1299
-0.8205,1.3189,-574
-0.6629,2.5395,-1205
-0.5153,2.9001,-1251
-0.4657,1.6400,-1227
-0.4281,1.1360,-532
-0.3905,0.9344,-411
-0.3629,0.7261,-288
-0.3353,0.6428,-252
-0.2857,0.7371,-356
-0.2481,0.7748,-415
-0.2105,0.7899,-459
-0.1729,0.7960,-499
-0.3453,-1.8825,1400
-0.6157,-3.3698,1400
-0.8981,-4.9530,1762
-0.8605,-1.5012,1400
-0.6129,2.5604,-1221
-0.3553,4.3127,-1295
-0.0957,4.2373,-1371
0.1619,4.9834,-1484
0.4095,5.1542,-1613
0.4471,2.5417,-1400
0.3747,0.0924,-302
0.2143,-1.5153,1311
0.0419,-2.8070,1387
-0.1305,-3.3236,1400
-0.4229,-5.0622,1613
-0.7053,-5.6300,1810
-0.8757,-3.9010,1400
-0.2981,5.8132,-1263
0.1695,8.2946,-1474
0.5371,8.0106,-1633
0.3468,0.7746,-659
0.2268,-0.8514,491
0.1168,-1.7448,1355
-0.2132,-4.9107,1507
-0.4332,-4.7728,1603
-0.5332,-3.1857,1400
-0.4232,-0.2098,335
-0.4232,-0.0839,335
-0.4232,-0.0336,335
-0.4232,-0.0134,335
-0.3132,1.3989,-909
-0.3132,0.5596,-211
-0.3132,0.2238,41
-0.4132,-1.1871,1052
-0.5232,-1.8791,1400
-0.5232,-0.7516,640
-0.4132,0.7639,-276
-0.3132,1.5821,-1276
0.0068,4.7180,-1403
0.3268,5.9723,-1607
0.7568,7.8783,-1739
0.6468,2.0868,-1400
0.6468,0.8347,-710
0.5368,-1.0704,393
0.6468,0.9761,-839
0.6468,0.3904,-478
0.6468,0.1562,-478
0.6468,0.0625,-478
0.6468,0.0250,-478
0.6468,0.0100,-478
0.6468,0.0040,-478
0.7568,1.0661,-930
0.8668,1.8307,-1400
0.9768,2.1365,-1400
0.9768,0.8546,-727
0.9768,0.3418,-677
0.9768,0.1367,-677
1.0868,1.4590,-1352
1.1968,1.9878,-1400
1.1968,0.7951,-817
1.0868,-0.7296,-117
1.0868,-0.2918,-436
1.1968,1.2875,-1159
1.4168,3.3235,-1400
1.5168,2.6060,-1400
1.5168,1.0424,-985
1.4068,-0.6476,-318
1.3068,-1.5356,927
1.3068,-0.6142,-292
1.3068,-0.2457,-604
1.3068,-0.0983,-767
1.3068,-0.0393,-840
1.3068,-0.0157,-870
1.3068,-0.0063,-883
1.3068,-0.0025,-888
1.6368,4.2118,-1509
1.9768,4.9750,-1790
2.3168,6.3304,-2481
2.3168,2.5322,-1400
2.3168,1.0129,-1400
2.3168,0.4051,-1400
1.9768,-3.1283,59
1.6368,-5.5917,836
1.3068,-6.4495,1127
1.3068,-2.5798,927
1.3068,-1.0319,-29
1.1968,-1.4773,923
1.1968,-0.5909,-256
1.0968,-1.5130,1031
1.0968,-0.6052,-199
0.9968,-1.5187,1057
1.0968,0.3603,-752
1.0968,0.1441,-752
1.0868,-0.0700,-662
0.9868,-1.3046,515
0.9768,-0.6495,-114
0.9768,-0.2598,-405
1.3068,4.1088,-1465
1.6368,5.8563,-2179
1.9668,6.5553,-2632
1.9768,2.7498,-1400
1.9868,1.1967,-1386
1.8768,-0.9256,-749
1.7568,-1.9021,479
1.5268,-3.6970,754
1.4068,-3.0107,857
1.3068,-2.1720,927
1.3068,-0.8688,-134
1.3068,-0.3475,-506
1.1968,-1.5433,990
1.1968,-0.6173,-238
1.0968,-1.2147,305
0.8768,-3.2944,1131
0.6568,-4.1263,1207
0.5468,-3.0548,1241
0.6468,0.0547,-478
0.6468,0.0219,-478
0.6468,0.0088,-478
0.6468,0.0035,-478
0.6468,0.0014,-478
0.5468,-1.2760,542
0.2168,-3.7040,1337
0.1068,-2.8858,1368
0.2168,0.2499,-241
0.4368,2.9085,-1400
0.6468,3.8442,-1400
0.7568,2.6022,-1400
0.8768,2.5728,-1400
0.6568,-1.7794,1177
0.5568,-1.9884,1219
0.5568,-0.7953,197
0.5568,-0.3181,-121
0.5568,-0.1273,-288
0.5568,-0.0509,-366
0.6668,1.3839,-1266
0.7668,1.8302,-1400
0.8768,1.7966,-1400
0.8668,0.5910,-611
0.6568,-2.4445,1207
0.4468,-3.6586,1271
0.3468,-2.7401,1298
0.3468,-1.0960,573
